Project Name,Package Name,Architecture Smell,Cause of the Smell
..,com.Group11.soulfulplates.controllers,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AuthController; AuthControllerTest]; [CategoryController; CategoryControllerTest]; [MenuItemController; MenuItemControllerTest]; [OrderController; OrderControllerTest]; [OrderController.UpdateOrderStatusRequest]; [PaymentController; PaymentControllerTest]; [RatingController; RatingControllerTest]; [StoreController; StoreControllerTest]; [TransactionController; TransactionControllerTest]; [UserController; UserControllerTest]; [WishlistController; WishlistControllerTest]. LCC (Lack of Component Cohesion) = 0.52
..,com.Group11.soulfulplates.controllers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.models; com.Group11.soulfulplates.payload.request.
..,com.Group11.soulfulplates.controllers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.services; com.Group11.soulfulplates.payload.request.
..,com.Group11.soulfulplates.controllers,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.services; com.Group11.soulfulplates.models.
..,com.Group11.soulfulplates.models,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 31
..,com.Group11.soulfulplates.models,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Address; User; UserFoodPreference; Wishlist; WishlistItem; CartItem; Order; Payment; Rating; Refund; Store; Transaction; ERefund; ESubscriptionOption; SubscriptionOption; SubscriptionOrder; ESubscriptionOrder; EUserFoodPreference; MenuItem; Review]; [Category; SubCategory]; [Delivery]; [DeliveryPerson; EDeliveryPerson]; [EDelivery]; [EOrder]; [EPayment]; [ERole; Role]; [SubscriptionOrderStatus]. LCC (Lack of Component Cohesion) = 0.29
..,com.Group11.soulfulplates.payload.request,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CartItemDto]; [CategoryRequest]; [CreateCartItemRequest]; [CreateCartRequest]; [CreateOrderRequest]; [CreateOrderRequest.SelectedItem]; [CreatePaymentRequest]; [CreateRatingRequest]; [ForgetPasswordRequest]; [GetOrderDetailsRequest]; [GetOrdersRequest]; [GetStoreOrders]; [LoginRequest]; [MenuItemRequest]; [PaymentFilterRequestBuyer]; [PaymentFilterRequestSeller]; [ResetPasswordRequest]; [SignupRequest]; [SubcategoryRequest]; [UpdatePaymentStatusRequest]; [UpdateTransactionStatusRequest]; [WishlistRequest]. LCC (Lack of Component Cohesion) = 1.0
..,com.Group11.soulfulplates.payload.response,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CartItemDTO]; [CartItemResponse]; [CartResponse]; [CreateOrderResponse]; [CreateOrderResponse.Data]; [CreatePaymentResponse]; [JwtResponse]; [MessageResponse]; [OrderDetailsResponse]; [OrderDetailsResponse.OrderDetails]; [OrderDetailsResponse.MenuItemDTO]; [OrdersResponse]; [OrdersResponse.OrderData]; [OrdersResponse.ItemData]; [OtpResponse]; [PaymentFilterResponse]; [SellerResponse]; [SellerResponse.SellerData]; [SellerResponse.SellerDetails]; [SellerResponse.StoreAddress]. LCC (Lack of Component Cohesion) = 1.0
..,com.Group11.soulfulplates.repository,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddressRepository]; [CartItemRepository]; [CategoryRepository]; [MenuItemRepository]; [OrderRepository]; [PaymentRepository]; [RatingRepository]; [RoleRepository]; [StoreRepository]; [SubcategoryRepository]; [TransactionRepository]; [UserRepository]; [WishlistRepository]. LCC (Lack of Component Cohesion) = 1.0
..,com.Group11.soulfulplates.services,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddressService]; [CategoryService]; [MenuItemService]; [OrderService]; [PaymentService]; [RatingService]; [StoreService]; [SubcategoryService]; [TransactionService]. LCC (Lack of Component Cohesion) = 1.0
..,com.Group11.soulfulplates.services.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AddressServiceImpl; AddressServiceImplTest]; [CategoryServiceImpl; CategoryServiceImplTest]; [MenuItemServiceImpl; MenuItemServiceImplTest]; [OrderServiceImpl; OrderServiceImplTest]; [PaymentServiceImpl; PaymentServiceImplTest]; [RatingServiceImpl; RatingServiceImplTest]; [StoreServiceImpl; StoreServiceImplTest]; [SubcategoryServiceImpl; SubcategoryServiceImplTest]; [TransactionServiceImpl; TransactionServiceImplTest]; [WishlistServiceImpl; WishlistServiceImplTest]. LCC (Lack of Component Cohesion) = 0.5
..,com.Group11.soulfulplates.services.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.models; com.Group11.soulfulplates.payload.request; com.Group11.soulfulplates.repository.
..,com.Group11.soulfulplates.services.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.Group11.soulfulplates.models; com.Group11.soulfulplates.repository.
